# Pet source meshes (Meshy OBJ + texture)
# Decimate via: bash scripts/decimate_mesh.sh assets/source/pets/<stem>.obj --targets 5000,7500,10000 --output assets/exports/pets/<stem>/

stem	pet	variant	download_zip	original_tris	note
grumpy_cat_basic	grumpy_cat	basic	Meshy_AI_Grumpy Nightbat_1781457563_texture.zip	7500	Meshy export says Nightbat; art is grumpy cat
cube_dog_basic	cube_dog	basic	Meshy_AI_Crimson Eyed Cube Dog_1781457955_texture.zip	7004	
raven_basic	raven	basic	Meshy_AI_Red-Eyed Raven_1781457967_texture.zip	12588	
jackalope_basic	jackalope	basic	Meshy_AI_Midnight Horned Rabbit_1781458991_texture.zip	16812	Meshy export says Midnight Horned Rabbit; art is jackalope
ember_moth_basic	ember_moth	basic	Ember Moth.zip	13124	
magma_wyrm_basic	magma_wyrm	basic	Magma Wyrm.zip	11782	
molten_rhino_basic	molten_rhino	basic	molten rhino.zip	17488	
cinder_whelp_basic	cinder_whelp	basic	Cinder Whelp.zip	11334	
carrion_vulture_basic	carrion_vulture	basic	CarrionVulture.zip	12458	
golden_scarab_basic	golden_scarab	basic	GoldenScarab.zip	6816	
sand_scorpion_basic	sand_scorpion	basic	SandScorpion.zip	11128	
dune_tortoise_basic	dune_tortoise	basic	DuneTortoise.zip	17350	
sand_jackal_basic	sand_jackal	basic	SandJackal.zip	13138	
snowy_owl_basic	snowy_owl	basic	SnowyOwl.zip	14678	
glacial_mammoth_basic	glacial_mammoth	basic	GlacialMammoth.zip	12573	
glacial_leviathan_basic	glacial_leviathan	basic	GlacialLeviathan.zip	12100	
aurora_seal_basic	aurora_seal	basic	AuroraSeal.zip	12862	
frost_fox_basic	frost_fox	basic	FrostFox.zip	12742	
empyrean_dragon_basic	empyrean_dragon	basic	Empyrean Dragon.zip	13398	
empyrean_dragon_gold	empyrean_dragon	gold	Empyrean Dragon Gold.zip	13398	
aurora_leviathan_basic	aurora_leviathan	basic	Aurora Leviathan.zip	13042	
aurora_leviathan_gold	aurora_leviathan	gold	Aurora Leviathan Gold.zip	13042	
glacial_seraph_basic	glacial_seraph	basic	Glacial Seraph.zip	11438	
glacial_seraph_gold	glacial_seraph	gold	Glacial Seraph Gold.zip	11438	
seraph_owl_basic	seraph_owl	basic	Seraph Owl.zip	7127	
seraph_owl_gold	seraph_owl	gold	Seraph Owl Gold.zip	7127	
aurora_fox_basic	aurora_fox	basic	Aurora Fox.zip	11272	
aurora_fox_gold	aurora_fox	gold	Aurora Fox Gold.zip	11272	
frostlight_hare_basic	frostlight_hare	basic	Frostlight Hare.zip	6988	
frostlight_hare_gold	frostlight_hare	gold	Frostlight Hare Gold.zip	6988	
sunmane_lion_basic	sunmane_lion	basic	Sunmane Lion.zip	19226	
sunmane_lion_gold	sunmane_lion	gold	Sunmane Lion Gold.zip	19226	
solar_phoenix_basic	solar_phoenix	basic	Solar Phoenix.zip	17672	
solar_phoenix_gold	solar_phoenix	gold	Solar Phoenix Gold.zip	17672	
radiant_salamander_basic	radiant_salamander	basic	Radiant Salamander.zip	18207	
radiant_salamander_gold	radiant_salamander	gold	Radiant Salamander Gold.zip	18207	
emberling_cherub_basic	emberling_cherub	basic	Emberling Cherub.zip	12234	
emberling_cherub_gold	emberling_cherub	gold	Emberling Cherub Gold.zip	12234	
bloomlamb_basic	bloomlamb	basic	Bloomlamb.zip	9110	
bloomlamb_gold	bloomlamb	gold	Bloomlamb Gold.zip	9110	
worldroot_ent_basic	worldroot_ent	basic	Worldroot Ent.zip	12026	
worldroot_ent_gold	worldroot_ent	gold	Worldroot Ent Gold.zip	12026	
verdant_sprite_basic	verdant_sprite	basic	Verdant Sprite.zip	17182	
verdant_sprite_gold	verdant_sprite	gold	Verdant Sprite Gold.zip	17182	
goldleaf_stag_basic	goldleaf_stag	basic	Goldleaf Stag.zip	12416	
goldleaf_stag_gold	goldleaf_stag	gold	Goldleaf Stag Gold.zip	12416	
halo_hare_basic	halo_hare	basic	Halo Hare.zip	14008	
halo_hare_gold	halo_hare	gold	Halo Hare Gold.zip	14008	
solar_roc_basic	solar_roc	basic	Solar Roc.zip	11313	
solar_roc_gold	solar_roc	gold	Solar Roc Gold.zip	11313	
